Year,Team,Rank,Age,Wins,Losses,Percentage,Attendance,Income,Payroll,All Stars
2017,Atlanta Hawks,19,27.9,43,39,0.524,654306,22,96.3,1
2017,Boston Celtics,8,25.9,53,29,0.646,760690,85,93.5,1
2017,Brooklyn Nets,28,26,20,62,0.244,632608,52,82.4,
2017,Charlotte Hornets,15,26.5,36,46,0.439,710643,21,103.1,1
2017,Chicago Bulls,14,26.9,41,41,0.5,888882,95,92.5,1
2017,Cleveland Cavaliers,7,29.2,51,31,0.622,843042,-6,128.5,2
2017,Dallas Mavericks,23,27.6,33,49,0.402,811366,21,102.4,
2017,Denver Nuggets,13,25.2,40,42,0.488,605585,49,83.8,
2017,Detroit Pistons,20,25.4,37,45,0.451,655141,22,106.5,
2017,Golden State Warriors,1,28.2,67,15,0.817,803436,120,101.6,4
2017,Houston Rockets,3,27.4,55,27,0.671,695903,95,91,1
2017,Indiana Pacers,16,27,42,40,0.512,684578,29,90.3,1
2017,Los Angeles Clippers,5,30,51,31,0.622,782609,35,114.8,1
2017,Los Angeles Lakers,30,25.1,26,56,0.317,776917,136,94.8,
2017,Memphis Grizzlies,12,29.5,43,39,0.524,677314,15,110.1,1
2017,Miami Heat,10,26.5,41,41,0.5,805400,63,100.7,
2017,Milwaukee Bucks,17,25.6,42,40,0.512,648952,20,96.2,1
2017,Minnesota Timberwolves,21,24,31,51,0.378,607203,53,83.5,
2017,New Orleans Pelicans,22,25.7,34,48,0.415,663099,37,101.6,1
2017,New York Knicks,24,27.3,31,51,0.378,810741,140,102.6,1
2017,Oklahoma City Thunder,11,24.7,47,35,0.573,746323,64,91.2,1
2017,Orlando Magic,29,25.3,29,53,0.354,727875,39,104.1,
2017,Philadelphia 76ers,27,24.6,28,54,0.341,710557,40,84.8,
2017,Phoenix Suns,26,25,24,58,0.293,708639,31,89.8,
2017,Portland Trail Blazers,18,24.8,41,41,0.5,792029,25,119.7,
2017,Sacramento Kings,25,27.9,32,50,0.39,721928,50,95.6,1
2017,San Antonio Spurs,2,29.6,61,21,0.744,755347,59,112,1
2017,Toronto Raptors,4,26.1,51,31,0.622,813050,51,108.6,2
2017,Utah Jazz,6,26.8,51,31,0.622,806142,61,80.1,1
2017,Washington Wizards,9,26,49,33,0.598,697107,21,104,1
2018,Atlanta Hawks,26,25.4,24,58,0.293,590769,42,100,
2018,Boston Celtics,6,24.7,55,27,0.671,763584,100,115.3,2
