Team,Rk (2017),Payroll (2017),Rk (2018),Payroll (2018),Rk (2019),Payroll (2019),Rk (2020),Payroll (2020),Rk (2021),Payroll (2021)
Atlanta Hawks,19, 96.3 ,26, 100.0 ,26, 79.2 ,28, 110.7 ,11, 118.8 
Boston Celtics,8, 93.5 ,6, 115.3 ,6, 125.3 ,2, 117.8 ,13, 132.9 
Brooklyn Nets,28, 82.4 ,24, 95.5 ,15, 118.9 ,15, 118.9 ,7, 170.4 
Charlotte Hornets,15, 103.1 ,17, 117.4 ,19, 121.4 ,27, 96.6 ,23, 108.2 
Chicago Bulls,14, 92.5 ,28, 90.5 ,27, 112.6 ,22, 112.6 ,20, 129.0 
Cleveland Cavaliers,7, 128.5 ,14, 137.7 ,30, 123.3 ,29, 131.1 ,28, 129.6 
Dallas Mavericks,23, 102.4 ,22, 85.4 ,21, 87.0 ,6, 120.9 ,9, 127.7 
Denver Nuggets,13, 83.8 ,11, 107.5 ,8, 118.3 ,11, 128.7 ,6, 129.8 
Detroit Pistons,20, 106.5 ,19, 119.8 ,16, 126.6 ,23, 104.5 ,25, 117.0 
Golden State Warriors,1, 101.6 ,3, 137.6 ,2, 146.3 ,30, 129.3 ,14, 171.1 
Houston Rockets,3, 91.0 ,1, 119.9 ,5, 126.5 ,8, 128.1 ,27, 131.8 
Indiana Pacers,16, 90.3 ,12, 95.3 ,9, 110.7 ,12, 112.9 ,17, 130.2 
Los Angeles Clippers,5, 114.8 ,18, 119.1 ,13, 118.0 ,3, 131.5 ,2, 139.7 
Los Angeles Lakers,30, 94.8 ,21, 103.1 ,23, 107.2 ,5, 124.0 ,8, 139.3 
Memphis Grizzlies,12, 110.1 ,27, 110.7 ,24, 125.2 ,18, 98.5 ,15, 132.0 
Miami Heat,10, 100.7 ,16, 133.6 ,17, 153.2 ,7, 129.9 ,16, 134.7 
Milwaukee Bucks,17, 96.2 ,20, 120.5 ,1, 131.0 ,1, 122.6 ,4, 136.6 
Minnesota Timberwolves,21, 83.5 ,10, 116.1 ,22, 122.0 ,24, 114.2 ,26, 130.3 
New Orleans Pelicans,22, 101.6 ,13, 120.8 ,20, 116.1 ,20, 117.9 ,18, 133.9 
New York Knicks,24, 102.6 ,23, 105.4 ,28, 123.4 ,26, 100.2 ,10, 102.1 
Oklahoma City Thunder,11, 91.2 ,7, 134.5 ,10, 144.9 ,13, 132.0 ,30, 95.8 
Orlando Magic,29, 104.1 ,25, 98.7 ,14, 114.4 ,16, 126.1 ,29, 121.7 
Philadelphia 76ers,27, 84.8 ,5, 100.8 ,11, 115.1 ,10, 129.9 ,5, 147.8 
Phoenix Suns,26, 89.8 ,30, 92.7 ,29, 108.7 ,14, 98.5 ,3, 128.9 
Portland Trail Blazers,18, 119.7 ,9, 118.7 ,7, 130.3 ,19, 132.0 ,12, 131.9 
Sacramento Kings,25, 95.6 ,29, 99.6 ,18, 101.5 ,21, 113.8 ,24, 106.8 
San Antonio Spurs,2, 112.0 ,8, 114.6 ,12, 121.6 ,17, 119.2 ,21, 129.5 
Toronto Raptors,4, 108.6 ,2, 116.9 ,3, 137.8 ,4, 122.5 ,19, 129.1 
Utah Jazz,6, 80.1 ,4, 105.6 ,4, 113.8 ,9, 118.9 ,1, 136.9 
Washington Wizards,9, 104.0 ,15, 123.3 ,25, 123.7 ,25, 121.3 ,22, 131.3 
