Mkt Rank,Team,TV Market Size,Metro Population
1,New York Knicks,7.453M,19216182
1,Brooklyn Nets,7.453M,19216182
2,Los Angeles Lakers,5.735M,13214799
2,Los Angeles Clippers,5.735M,13214799
3,Chicago Bulls,3.472M,9458539
4,Philadelphia 76ers,2.997M,6102434
5,Dallas Mavericks,2.963M,7573136
6,Toronto Raptors,0,5928040
7,Golden State Warriors,2.653M,4731803
8,Atlanta Hawks,2.649M,6020364
9,Houston Rockets,2.570M,7066141
10,Washington Wizards,2.566M,6280487
11,Boston Celtics,2.490M,4873019
12,Phoenix Suns,2.158M,4948203
13,Minnesota Timberwolves,1.887M,3654908
14,Detroit Pistons,1.863M,4319629
15,Denver Nuggets,1.798M,2932415
16,Orlando Magic,1.731M,2608147
17,Miami Heat,1.693M,6166488
18,Cleveland Cavaliers,1.512M,2048449
19,Sacramento Kings,1.459M,2363730
20,Portland Trail Blazers,1.315M,2492412
21,Charlotte Hornets,1.291M,2636883
22,Indiana Pacers,1.183M,2074537
23,Utah Jazz,1.100M,1232696
24,San Antonio Spurs,1.031M,2550960
25,Milwaukee Bucks,922K,1575179
26,Oklahoma City Thunder,755K,1408950
27,New Orleans Pelicans,664K,1270530
28,Memphis Grizzlies,620K,1346045
